Top 20 PMI pairs:

            word1         word2       pmi      ppmi  count
             hong          kong 16.760803 16.760803     11
             viet           nam 16.220235 16.220235     13
           pathet           lao 16.132772 16.132772     10
            simms        purdew 16.132772 16.132772     12
           herald       tribune 15.867718 15.867718      7
               el          paso 15.760803 15.760803     10
               lo           shu 15.760803 15.760803     21
              wtv       antigen 15.742188 15.742188      7
           puerto          rico 15.635272 15.635272     21
         drainage         ditch 15.519795 15.519795      5
          anionic       binding 15.383734 15.383734      7
        kohnstamm    reactivity 15.271868 15.271868      8
           carbon tetrachloride 15.188036 15.188036     18
       phonologic    subsystems 15.161341 15.161341      3
        computing    allotments 15.023838 15.023838      3
        presiding         elder 14.991416 14.991416      4
         peaceful   coexistence 14.934833 14.934833      8
nineteenthcentury   immigration 14.898307 14.898307      4
          vincent        berger 14.872772 14.872772      7
         delphine      lalaurie 14.869738 14.869738      5

Bottom 20 PMI pairs:

word1 word2        pmi  ppmi  count
   of    of -10.084018   0.0      1
  the   and  -9.690718   0.0      2
  the    to  -9.549530   0.0      2
  and   and  -9.412733   0.0      1
  the     a  -9.384628   0.0      2
  the    in  -9.255913   0.0      2
  the    is  -9.177587   0.0      1
    a     a  -8.800552   0.0      1
    a    in  -8.671837   0.0      1
  his   the  -8.646549   0.0      1
   of    to  -8.607187   0.0      2
   of    he  -8.152874   0.0      1
   he    of  -8.152874   0.0      1
   of   for  -8.144084   0.0      1
  the   not  -8.044786   0.0      1
    a    to  -7.965454   0.0      2
   to   was  -7.715833   0.0      1
   to    he  -7.676043   0.0      1
   to   for  -7.667253   0.0      1
   on    of  -7.650638   0.0      1

Top 20 PPMI pairs:

            word1         word2       pmi      ppmi  count
             hong          kong 16.760803 16.760803     11
             viet           nam 16.220235 16.220235     13
           pathet           lao 16.132772 16.132772     10
            simms        purdew 16.132772 16.132772     12
           herald       tribune 15.867718 15.867718      7
               el          paso 15.760803 15.760803     10
               lo           shu 15.760803 15.760803     21
              wtv       antigen 15.742188 15.742188      7
           puerto          rico 15.635272 15.635272     21
         drainage         ditch 15.519795 15.519795      5
          anionic       binding 15.383734 15.383734      7
        kohnstamm    reactivity 15.271868 15.271868      8
           carbon tetrachloride 15.188036 15.188036     18
       phonologic    subsystems 15.161341 15.161341      3
        computing    allotments 15.023838 15.023838      3
        presiding         elder 14.991416 14.991416      4
         peaceful   coexistence 14.934833 14.934833      8
nineteenthcentury   immigration 14.898307 14.898307      4
          vincent        berger 14.872772 14.872772      7
         delphine      lalaurie 14.869738 14.869738      5
